university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url
University of Dundee,Architecture with Urban Planning,MArch,122104,2,N/A,"Dundee, United Kingdom",https://www.study.eu/university/university-of-dundee/march-architecture-with-urban-planning
UvA University of Amsterdam,Archival and Information Studies (Media Studies),Master,,1,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/uva-university-of-amsterdam/master-archival-and-information-studies-media-studies
University of Dundee,Archives and Records Management,Master,97683,5,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/university-of-dundee/master-archives-and-records-management-16009
Alma Mater Europaea,Archives and Records Management,Master,,2,N/A,"Maribor, Slovenia",https://www.study.eu/university/alma-mater-europaea/master-archives-and-records-management
University College Dublin (UCD),Archives & Records Management,MA,,1,N/A,"Dublin, Ireland",https://www.study.eu/university/university-college-dublin-ucd/archives-records-management
University of Tromsø – The Arctic University of Norway,Arctic Adventure Tourism,Bachelor,,,N/A,"Tromsø, Norway",https://www.study.eu/university/university-of-tromso-the-arctic-university-of-norway/bachelor-arctic-adventure-tourism
University of Lapland,Arctic Art and Design,Master,,,N/A,"Rovaniemi, Finland",https://www.study.eu/university/university-of-lapland/arctic-art-and-design
Norwegian University of Life Sciences,Arctic Environment Forensics,MSc,,2,N/A,"Ås, Norway",https://www.study.eu/university/norwegian-university-of-life-sciences/msc-arctic-environment-forensics
University of Lapland,Arctic Studies Program / ASP,Bachelor,,,N/A,"Rovaniemi, Finland",https://www.study.eu/university/university-of-lapland/arctic-studies-program-asp
Atlantic Technological University,Art,BA,,3,N/A,"Galway, Ireland",https://www.study.eu/university/atlantic-technological-university/ba-art
"Dún Laoghaire Institute of Art, Design and Technology (IADT)",Art,BA (Hons),,4,N/A,"Dublin, Ireland",https://www.study.eu/university/dun-laoghaire-institute-of-art-design-and-technology-iadt/ba-hons-art-25808
Atlantic Technological University,Art,BA (Hons),,4,N/A,"Galway, Ireland",https://www.study.eu/university/atlantic-technological-university/ba-hons-art
University of Edinburgh,Art,BA (Hons),148274,4,N/A,"Edinburgh, United Kingdom",https://www.study.eu/university/university-of-edinburgh/art-dd72da48-a496-4f5a-9080-416a1d9f0bb0
University of East Anglia,Art,MA,18567,1,N/A,"Norwich, United Kingdom",https://www.study.eu/university/university-of-east-anglia/art
South East Technological University,Art,BA (Hons),,4,N/A,"Carlow, Ireland",https://www.study.eu/university/south-east-technological-university/art-12888
University of Liverpool,"Art, Aesthetics and Cultural Institutions",MA,17491,1,N/A,"Liverpool, United Kingdom",https://www.study.eu/university/university-of-liverpool/art-aesthetics-and-cultural-institutions
University of Aberdeen,Art and Business,MLitt,17589,1,N/A,"Aberdeen, United Kingdom",https://www.study.eu/university/university-of-aberdeen/art-and-business
Anglia Ruskin University,Art and Design,MPhil,15069,1,N/A,"Chelmsford, United Kingdom",https://www.study.eu/university/anglia-ruskin-university/art-and-design-5457
University of Dundee,Art and Design,PhD,17424,4,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/university-of-dundee/phd-art-and-design
SWPS University of Social Sciences and Humanities,Art and Design,BA,,4,N/A,"Warsaw, Poland",https://www.study.eu/university/swps-university-of-social-sciences-and-humanities/art-and-design-b135c4ba-2f65-43b6-bb44-5296a690468c
University of Wales Trinity Saint David,Art and Design,MPhil,,2,N/A,"Carmarthen, United Kingdom",https://www.study.eu/university/university-of-wales-trinity-saint-david/art-and-design
Gerrit Rietveld Academy,Art and Design,Bachelor,,4,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/gerrit-rietveld-academy/bachelor-art-and-design
University of Staffordshire,Art and Design,MPhil,,4,N/A,"Stafford, United Kingdom",https://www.study.eu/university/university-of-staffordshire/art-and-design-5459
Munster Technological University,Art and Design,MA,,2,N/A,"Cork, Ireland",https://www.study.eu/university/munster-technological-university/art-and-design-a83cacd2-026e-4e2b-a055-4a06af68e49a
University of Huddersfield,Art and Design,MA,,1,N/A,"Huddersfield, United Kingdom",https://www.study.eu/university/university-of-huddersfield/art-and-design-5460
Atlantic Technological University,Art and Design & Communication Graphics,Bachelor,,4,N/A,"Galway, Ireland",https://www.study.eu/university/atlantic-technological-university/bachelor-art-and-design-communication-graphics
Budapest Metropolitan University,Art and Design Management,MA,,2,N/A,"Budapest, Hungary",https://www.study.eu/university/budapest-metropolitan-university/ma-art-and-design-management-abaa0122-7037-4716-ad8a-a3427a8e9ac2
MOME Moholy-Nagy University of Art and Design,Art and Design Management,MA,,2,N/A,"Budapest, Hungary",https://www.study.eu/university/mome-moholy-nagy-university-of-art-and-design/ma-art-and-design-management
University of Galway,Art and Ecology,MA,,1,N/A,"Galway, Ireland",https://www.study.eu/university/university-of-galway/art-and-ecology
University of Westminster,Art and Emerging Technologies,MA,21528,1,N/A,"London, United Kingdom",https://www.study.eu/university/university-of-westminster/ma-art-and-emerging-technologies
UvA University of Amsterdam,Art and Performance Research Studies,Master,,1,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/uva-university-of-amsterdam/master-art-and-performance-research-studies
"Goldsmiths, University of London",Art and Politics,MA,24313,1,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/art-and-politics
Oslo National Academy of the Arts,Art and Public Space,MFA,,2,N/A,"Oslo, Norway",https://www.study.eu/university/oslo-national-academy-of-the-arts/mfa-art-and-public-space
University of the Arts London,Art and Science,MSc,,2,N/A,"London, United Kingdom",https://www.study.eu/university/university-of-the-arts-london/art-and-science
Middlesex University London,Art and Social Practice,MA,18164,1,N/A,"London, United Kingdom",https://www.study.eu/university/middlesex-university-london/art-and-social-practice
Aalborg University (AAU),Art and Technology,Bachelor,,3,N/A,"Aalborg, Denmark",https://www.study.eu/university/aalborg-university-aau/art-and-technology
University of Limerick,Art and Technology,MSc,,1,N/A,"Limerick, Ireland",https://www.study.eu/university/university-of-limerick/art-and-technology-cd34a7a6-480e-43e8-b5a9-6f4aa2f43b46
University of Westminster,Art and Visual Culture,MA,24219,1,N/A,"London, United Kingdom",https://www.study.eu/university/university-of-westminster/ma-art-and-visual-culture
Queen Mary University of London,"Art, Business and Law",LLM,,1,N/A,"London, United Kingdom",https://www.study.eu/university/queen-mary-university-of-london/llm-art-business-and-law
University of Dundee,Art & Design,BA (Hons),97683,4,N/A,"Dundee, United Kingdom",https://www.study.eu/university/university-of-dundee/ba-hons-art-design
Estonian Academy of Arts (EKA),Art & Design,PhD,,,N/A,"Tallinn, Estonia",https://www.study.eu/university/estonian-academy-of-arts-eka/phd-art-design
Cambridge School of Visual & Performing Arts,Art & Design,MA,,,N/A,"Cambridge, United Kingdom",https://www.study.eu/university/cambridge-school-of-visual-performing-arts/ma-art-design
Cambridge School of Visual & Performing Arts,Art & Design,GradDip,,,N/A,"Cambridge, United Kingdom",https://www.study.eu/university/cambridge-school-of-visual-performing-arts/graddip-art-design
University of Portsmouth,"Art, Design and Media",MPhil,24757,2,N/A,"Portsmouth, United Kingdom",https://www.study.eu/university/university-of-portsmouth/art-design-and-media
University of Portsmouth,"Art, Design and Media",PhD,37135,3,N/A,"Portsmouth, United Kingdom",https://www.study.eu/university/university-of-portsmouth/art-design-and-media-5476
TU Shannon,Art & Design Teacher Education,Bachelor,,4,N/A,"Limerick, Ireland",https://www.study.eu/university/tu-shannon/bachelor-art-design-teacher-education
Technological University Dublin,Art & Environment,MA,,1,N/A,"Dublin, Ireland",https://www.study.eu/university/technological-university-dublin/ma-art-environment
University of the Arts London,Art: Exhibition Studies,MSc,,2,N/A,"London, United Kingdom",https://www.study.eu/university/university-of-the-arts-london/art-exhibition-studies
University of Manchester,Art Gallery and Museum Studies,MA,20855,1,N/A,"Manchester, United Kingdom",https://www.study.eu/university/university-of-manchester/art-gallery-and-museum-studies
The Open University,Art History,MA,,,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/art-history-652afb5f-f4d8-48ce-ab7c-cd07c755a813
University of St Andrews,Art History,MPhil,41172,2,N/A,"St Andrews, United Kingdom",https://www.study.eu/university/university-of-st-andrews/art-history
University of St Andrews,Art History,MLitt,22749,1,N/A,"St Andrews, United Kingdom",https://www.study.eu/university/university-of-st-andrews/art-history-d0867b25-828e-4dda-82c5-ff3b9fff1a51
Aberystwyth University,Art History,BA (Hons),54896,3,N/A,"Aberystwyth, United Kingdom",https://www.study.eu/university/aberystwyth-university/art-history-11886
University College Dublin (UCD),Art History,MA,,,N/A,"Dublin, Ireland",https://www.study.eu/university/university-college-dublin-ucd/art-history-14de84a7-98e9-4da9-b90b-08ba034dcca0
University of Sussex,Art History,MA,,,N/A,"Brighton, United Kingdom",https://www.study.eu/university/university-of-sussex/ma-art-history-27804
Trinity College Dublin (TCD),Art History,MPhil,,1,N/A,"Dublin, Ireland",https://www.study.eu/university/trinity-college-dublin-tcd/art-history-b9ccf9d2-1ef2-4c97-9211-e6f135924b32
University College Dublin (UCD),Art History,BA (Hons),,3,N/A,"Dublin, Ireland",https://www.study.eu/university/university-college-dublin-ucd/art-history-b76a21b9-cca8-483c-bc41-8e7e5879557b
University of Sussex,Art History,BA (Hons),,,N/A,"Brighton, United Kingdom",https://www.study.eu/university/university-of-sussex/ba-hons-art-history-27661
Saint Louis University Madrid,Art History,BA,,4,N/A,"Madrid, Spain",https://www.study.eu/university/saint-louis-university-madrid/ba-art-history-28563
University of Groningen,Art History,BA,,3,N/A,"Groningen, Netherlands",https://www.study.eu/university/university-of-groningen/ba-art-history
American University of Rome,Art History,BA,98502,4,N/A,"Rome, Italy",https://www.study.eu/university/american-university-of-rome/ba-art-history-21419
University of Groningen,Art History,MA,,1,N/A,"Groningen, Netherlands",https://www.study.eu/university/university-of-groningen/ma-art-history
Liverpool Hope University,Art History and Curating,MA,,1,N/A,"Liverpool, United Kingdom",https://www.study.eu/university/liverpool-hope-university/art-history-and-curating
University of Sussex,Art History and Film Studies,BA (Hons),,,N/A,"Brighton, United Kingdom",https://www.study.eu/university/university-of-sussex/ba-hons-art-history-and-film-studies
University of Essex,Art History and History,BA,82647,3,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/ba-art-history-and-history
University of Essex,Art History and Modern Languages,BA,110196,4,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/ba-art-history-and-modern-languages
University of Sussex,Art History and Museum Curating,MA,,,N/A,"Brighton, United Kingdom",https://www.study.eu/university/university-of-sussex/ma-art-history-and-museum-curating
University of Essex,Art History and Theory,MPhil,52878,2,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/mphil-art-history-and-theory
University of Essex,Art History and Theory,PhD,79317,3,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/phd-art-history-and-theory
University of Essex,Art History and Theory,Master,20202,0.75,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/master-art-history-and-theory
University of Essex,Art History and Theory,MA,26439,1,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/ma-art-history-and-theory
University of Exeter,Art History and Visual Culture,MPhil,41575,2,N/A,"Exeter, United Kingdom",https://www.study.eu/university/university-of-exeter/art-history-and-visual-culture
Estonian Academy of Arts (EKA),Art History and Visual Culture,PhD,,,N/A,"Tallinn, Estonia",https://www.study.eu/university/estonian-academy-of-arts-eka/phd-art-history-and-visual-culture
The Open University,Art History and Visual Cultures,BA (Hons),,,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/art-history-and-visual-cultures
University of Manchester,Art History and Visual Studies,PhD,62565,3,N/A,"Manchester, United Kingdom",https://www.study.eu/university/university-of-manchester/art-history-and-visual-studies
University College Dublin (UCD),"Art History, Collections & Curating",MA,,1,N/A,"Dublin, Ireland",https://www.study.eu/university/university-college-dublin-ucd/art-history-collections-curating
University College Dublin (UCD),Art History & Cultural Policy,PhD,,3,N/A,"Dublin, Ireland",https://www.study.eu/university/university-college-dublin-ucd/art-history-cultural-policy-ba1a1458-0dc7-4c96-89a9-977270afc176
University College Dublin (UCD),Art History & Cultural Policy,MLitt,,2,N/A,"Dublin, Ireland",https://www.study.eu/university/university-college-dublin-ucd/art-history-cultural-policy
University of Essex,"Art History, Heritage and Museum Studies",BA,82647,3,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/ba-art-history-heritage-and-museum-studies
University of Rome Tor Vergata,"Art History in Rome, from Late Antiquity to the Present",MA,,2,N/A,"Rome, Italy",https://www.study.eu/university/university-of-rome-tor-vergata/art-history-in-rome-from-late-antiquity-to-the-present
University College Cork (UCC),"Art History - Modern and Contemporary Art History, Theory and Criticism",MA,,1,N/A,"Cork, Ireland",https://www.study.eu/university/university-college-cork-ucc/art-history-modern-and-contemporary-art-history-theory-and-c
University for the Creative Arts,"Art History, Theory & Contemporary Culture",BA (Hons),,3,N/A,"Farnham, United Kingdom",https://www.study.eu/university/university-for-the-creative-arts/art-history-theory-contemporary-culture
University of Essex,"Art History, Visual Culture and Media Studies",BA,82647,3,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/ba-art-history-visual-culture-and-media-studies
Aberystwyth University,Art History with Fine Art,BA (Hons),54896,3,N/A,"Aberystwyth, United Kingdom",https://www.study.eu/university/aberystwyth-university/art-history-with-fine-art
University of Essex,Art History with Modern Languages,BA,110196,4,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/ba-art-history-with-modern-languages
University of Trento,Artifical Intelligence Systems,Master,,,N/A,"Trento, Italy",https://www.study.eu/university/university-of-trento/artifical-intelligence-systems
Metropolitan College,Artificial Intelligence,MSc,,,N/A,"Athens, Greece",https://www.study.eu/university/metropolitan-college/msc-artificial-intelligence-30696
London Metropolitan University,Artificial Intelligence,MSc,,1,N/A,"London, United Kingdom",https://www.study.eu/university/london-metropolitan-university/artificial-intelligence-21412
University of Kragujevac,Artificial Intelligence,Master,,2,N/A,"Kragujevac, Serbia",https://www.study.eu/university/university-of-kragujevac/master-artificial-intelligence-24995
KU Leuven,Artificial Intelligence,MSc,,1,N/A,"Leuven, Belgium",https://www.study.eu/university/ku-leuven/msc-artificial-intelligence
Rovira i Virgili University,Artificial Intelligence,Master,,,N/A,"Tarragona, Spain",https://www.study.eu/university/rovira-i-virgili-university/artificial-intelligence-b5f561df-7b07-400d-8b9d-824da26b0199
University of Groningen,Artificial Intelligence,MSc,,1,N/A,"Groningen, Netherlands",https://www.study.eu/university/university-of-groningen/msc-artificial-intelligence-23983
University of Westminster,Artificial Intelligence,BSc (Hons),71042,3,N/A,"London, United Kingdom",https://www.study.eu/university/university-of-westminster/bsc-hons-artificial-intelligence-30178
University of Barcelona,Artificial Intelligence,Master,,,N/A,"Barcelona, Spain",https://www.study.eu/university/university-of-barcelona/artificial-intelligence-e20241b1-9859-4b84-b5a1-752f0d0ecf36
Johannes Kepler University Linz,Artificial Intelligence,MSc,,2,N/A,"Linz, Austria",https://www.study.eu/university/johannes-kepler-university-linz/msc-artificial-intelligence-29823
University of St Andrews,Artificial Intelligence,MSc,31067,1,N/A,"St Andrews, United Kingdom",https://www.study.eu/university/university-of-st-andrews/artificial-intelligence-5099
UvA University of Amsterdam,Artificial Intelligence,MSc,,1,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/uva-university-of-amsterdam/msc-artificial-intelligence-10136
University of Edinburgh,Artificial Intelligence,BSc (Hons),148274,4,N/A,"Edinburgh, United Kingdom",https://www.study.eu/university/university-of-edinburgh/artificial-intelligence-05b8dee1-b2ef-4174-b3c1-02fd342d9739
University of Essex,Artificial Intelligence,PhD,79317,3,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/phd-artificial-intelligence
VU Amsterdam,Artificial Intelligence,Master,,2,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/vu-amsterdam/master-artificial-intelligence-27409
Brunel University London,Artificial Intelligence,MSc,,1,N/A,"London, United Kingdom",https://www.study.eu/university/brunel-university-london/artificial-intelligence-20788
University of Groningen,Artificial Intelligence,BSc,,3,N/A,"Groningen, Netherlands",https://www.study.eu/university/university-of-groningen/artificial-intelligence-5940
Poznan University of Technology,Artificial Intelligence,BSc,,3.5,N/A,"Poznan, Poland",https://www.study.eu/university/poznan-university-of-technology/artificial-intelligence-46214941-55f6-4740-b765-dc09c3306d15
University of Southampton,Artificial Intelligence,MSc,,,N/A,"Southampton, United Kingdom",https://www.study.eu/university/university-of-southampton/artificial-intelligence-5098
University of Essex,Artificial Intelligence,BSc,96270,3,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/bsc-artificial-intelligence-29220
IU International University of Applied Sciences,Artificial Intelligence,MSc,,1,N/A,"Berlin, Germany + 1 more campus",https://www.study.eu/university/iu-international-university-of-applied-sciences/msc-artificial-intelligence-21155
University of Cyprus,Artificial Intelligence,Master,,,N/A,"Nicosia, Cyprus",https://www.study.eu/university/university-of-cyprus/master-artificial-intelligence-28002
University Politehnica of Bucharest,Artificial Intelligence,MSc,5699,2,N/A,"Bucharest, Romania",https://www.study.eu/university/university-politehnica-of-bucharest/msc-artificial-intelligence-19521
University of Aberdeen,Artificial Intelligence,MSc,17589,1,N/A,"Aberdeen, United Kingdom",https://www.study.eu/university/university-of-aberdeen/artificial-intelligence-10679
Deggendorf Institute of Technology,Artificial Intelligence,BSc,,3.5,N/A,"Deggendorf, Germany",https://www.study.eu/university/deggendorf-institute-of-technology/bsc-artificial-intelligence
VU Amsterdam,Artificial Intelligence,Bachelor,,3,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/vu-amsterdam/bachelor-artificial-intelligence
École Polytechnique,Artificial Intelligence & advanced Visual Computing,MSc,,2,N/A,"Paris, France",https://www.study.eu/university/ecole-polytechnique/artificial-intelligence-advanced-visual-computing
University of Sussex,Artificial Intelligence and Adaptive Systems,MSc,,,N/A,"Brighton, United Kingdom",https://www.study.eu/university/university-of-sussex/msc-artificial-intelligence-and-adaptive-systems
Northeastern University London,Artificial Intelligence and Computer Science,MSc,33502,1,N/A,"London, United Kingdom",https://www.study.eu/university/northeastern-university-london/msc-artificial-intelligence-and-computer-science
Alpen-Adria-Universität Klagenfurt,Artificial Intelligence and Cybersecurity,MSc,,2,N/A,"Klagenfurt, Austria",https://www.study.eu/university/alpen-adria-universitat-klagenfurt/msc-artificial-intelligence-and-cybersecurity
University of Pisa,Artificial Intelligence and Data Engineering,MSc,,,N/A,"Pisa, Italy",https://www.study.eu/university/university-of-pisa/artificial-intelligence-and-data-engineering
Deggendorf Institute of Technology,Artificial Intelligence and Data Science,MSc,,2,N/A,"Deggendorf, Germany + 1 more campus",https://www.study.eu/university/deggendorf-institute-of-technology/msc-artificial-intelligence-and-data-science
Czestochowa University of Technology,Artificial Intelligence and Data Science,MSc,,,N/A,"Czestochowa, Poland",https://www.study.eu/university/czestochowa-university-of-technology/msc-artificial-intelligence-and-data-science-27351
Northeastern University London,Artificial Intelligence and Data Science,MSc,,1,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/northeastern-university-london/msc-artificial-intelligence-and-data-science-29752
Heinrich Heine University Düsseldorf,Artificial Intelligence and Data Science,MSc,,2,N/A,"Düsseldorf, Germany",https://www.study.eu/university/heinrich-heine-university-dusseldorf/msc-artificial-intelligence-and-data-science-12127838-7447-4657-9306-04aa1ceb3a34
Keele University,Artificial Intelligence and Data Science,MSc,,1,N/A,"Keele, United Kingdom",https://www.study.eu/university/keele-university/artificial-intelligence-and-data-science
University of South Bohemia,Artificial Intelligence and Data Science,Master,,2,N/A,"České Budějovice, Czech Republic",https://www.study.eu/university/university-of-south-bohemia/artificial-intelligence-and-data-science-21638
University of Westminster,Artificial Intelligence and Digital Health,MSc,24219,1,N/A,"London, United Kingdom",https://www.study.eu/university/university-of-westminster/msc-artificial-intelligence-and-digital-health
Eindhoven University of Technology,Artificial Intelligence and Engineering Systems,MSc,,3,N/A,"Eindhoven, Netherlands",https://www.study.eu/university/eindhoven-university-of-technology/msc-artificial-intelligence-and-engineering-systems
VU Amsterdam,Artificial Intelligence and Governance,Master,,1,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/vu-amsterdam/master-artificial-intelligence-and-governance
University of Agder,Artificial Intelligence and Internet of Things,Master,,2,N/A,"Grimstad, Norway",https://www.study.eu/university/university-of-agder/master-artificial-intelligence-and-internet-of-things
TU Darmstadt,Artificial Intelligence and Machine Learning,MSc,,2,N/A,"Darmstadt, Germany",https://www.study.eu/university/tu-darmstadt/msc-artificial-intelligence-and-machine-learning
Queen Mary University of London,Artificial Intelligence and Machine Learning in Science,MSc,,1,N/A,"London, United Kingdom",https://www.study.eu/university/queen-mary-university-of-london/msc-artificial-intelligence-and-machine-learning-in-science
Sapienza University of Rome,Artificial Intelligence and Robotics,Master,2345,2,N/A,"Rome, Italy",https://www.study.eu/university/sapienza-university-of-rome/artificial-intelligence-and-robotics
VU Amsterdam,Artificial Intelligence: Cognitive Science,Master,,2,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/vu-amsterdam/master-artificial-intelligence-cognitive-science
University of Edinburgh,Artificial Intelligence & Computer Science,BSc (Hons),148274,4,N/A,"Edinburgh, United Kingdom",https://www.study.eu/university/university-of-edinburgh/artificial-intelligence-computer-science
Northeastern University London,Artificial Intelligence & Data Analytics,MSc,33502,1,N/A,"London, United Kingdom",https://www.study.eu/university/northeastern-university-london/msc-artificial-intelligence-data-analytics
Frankfurt School of Finance & Management,Artificial Intelligence & Data Science,Master,,2,N/A,"Frankfurt am Main, Germany",https://www.study.eu/university/frankfurt-school-of-finance-management/master-artificial-intelligence-data-science
University of West Attica,Artificial Intelligence & Deep Learning,MSc,,1.5,N/A,"Athens, Greece",https://www.study.eu/university/university-of-west-attica/msc-artificial-intelligence-deep-learning
Burgundy School of Business (BSB),Artificial Intelligence & Digital Technology Management,MSc,16417,1,N/A,"Dijon, France",https://www.study.eu/university/burgundy-school-of-business-bsb/artificial-intelligence-digital-technology-management
European University Cyprus,Artificial Intelligence (Distance Learning),Master,,1.5,N/A,Cyprus – programme delivered online,https://www.study.eu/university/european-university-cyprus/master-artificial-intelligence-distance-learning
Northeastern University London,Artificial Intelligence & Ethics,MSc,33502,1,N/A,"London, United Kingdom",https://www.study.eu/university/northeastern-university-london/msc-artificial-intelligence-ethics
University of Würzburg,Artificial Intelligence & Extended Reality,MSc,,2,N/A,"Würzburg, Germany",https://www.study.eu/university/university-of-wurzburg/extended-artificial-intelligence-xtai
Queen Mary University of London,Artificial Intelligence for Drug Discovery,MSc,,1,N/A,"London, United Kingdom",https://www.study.eu/university/queen-mary-university-of-london/msc-artificial-intelligence-for-drug-discovery
EPITA,Artificial Intelligence for Marketing Strategy,MSc,22749,1.5,N/A,"Paris, France",https://www.study.eu/university/epita/artificial-intelligence-for-marketing-strategy
Technische Universität Braunschweig,Artificial Intelligence for Molecular Sciences,Master,,2,N/A,"Braunschweig, Germany",https://www.study.eu/university/technische-universitat-braunschweig/master-artificial-intelligence-for-molecular-sciences
Universidad Politécnica de Madrid,Artificial Intelligence for Public Services,Master,14071,1,N/A,"Madrid, Spain + 1 more campus",https://www.study.eu/university/universidad-politecnica-de-madrid/master-artificial-intelligence-for-public-services
Deggendorf Institute of Technology,Artificial Intelligence for Smart Sensors and Actuators,MEng,,1.5,N/A,"Deggendorf, Germany",https://www.study.eu/university/deggendorf-institute-of-technology/meng-artificial-intelligence-for-smart-sensors-and-actuators
Tallinn University,Artificial Intelligence for Sustainable Societies,Master,9381,2,N/A,"Tallinn, Estonia",https://www.study.eu/university/tallinn-university/master-artificial-intelligence-for-sustainable-societies
Newcastle University Business School,Artificial Intelligence in Business,MSc,,1,N/A,"Newcastle upon Tyne, United Kingdom",https://www.study.eu/university/newcastle-university-business-school/msc-artificial-intelligence-in-business
KU Leuven,Artificial Intelligence in Business and Industry,AdvM,,1,N/A,"Bruges, Belgium",https://www.study.eu/university/ku-leuven/advm-artificial-intelligence-in-business-and-industry
University of Essex,Artificial Intelligence in Finance,MSc,31619,1,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/msc-artificial-intelligence-in-finance
Queen Mary University of London,Artificial Intelligence in the Biosciences,MSc,,1,N/A,"London, United Kingdom",https://www.study.eu/university/queen-mary-university-of-london/msc-artificial-intelligence-in-the-biosciences
University of Limerick,Artificial Intelligence & Machine Learning,MSc,,1,N/A,"Limerick, Ireland",https://www.study.eu/university/university-of-limerick/artificial-intelligence-machine-learning
Atlantic Technological University,Artificial Intelligence Research,MSc,,1,N/A,"Letterkenny, Ireland",https://www.study.eu/university/atlantic-technological-university/artificial-intelligence-research
University of Applied Sciences Upper Austria,Artificial Intelligence Solutions,BSc,,3,N/A,"Wels, Austria",https://www.study.eu/university/university-of-applied-sciences-upper-austria/bsc-artificial-intelligence-solutions
EPITA,Artificial Intelligence Systems,MSc,21107,1.5,N/A,"Paris, France",https://www.study.eu/university/epita/artificial-intelligence-systems
Northeastern University London,Artificial Intelligence & Technology Leadership,MSc,33502,1,N/A,"London, United Kingdom",https://www.study.eu/university/northeastern-university-london/msc-artificial-intelligence-technology-leadership
ArtEZ University of the Arts,Artist Educator,Master,,1,N/A,"Arnhem, Netherlands",https://www.study.eu/university/artez-university-of-the-arts/master-artist-educator
"Bard College Berlin, A Liberal Arts University",Artistic Practice and Society,BA,,,N/A,"Berlin, Germany",https://www.study.eu/university/bard-college-berlin-a-liberal-arts-university/ba-artistic-practice-and-society
Norwegian Academy of Music,Artist­ic Research,PhD,,3,N/A,"Oslo, Norway",https://www.study.eu/university/norwegian-academy-of-music/phd-artist-ic-research
University of the Arts The Hague,Artistic Research,MA,,2,N/A,"The Hague, Netherlands",https://www.study.eu/university/university-of-the-arts-the-hague/ma-artistic-research
University of Applied Arts Vienna,Artistic Research,PhD,,3,N/A,"Vienna, Austria",https://www.study.eu/university/university-of-applied-arts-vienna/phd-artistic-research
"Goldsmiths, University of London",Artists' Film,MA,27717,1,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/artists-film
"Goldsmiths, University of London",Artist Teachers and Contemporary Practices,MA,25187,1,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/artist-teachers-and-contemporary-practices
Iscte - University Institute of Lisbon,Art Markets,Master,,,N/A,"Lisbon, Portugal",https://www.study.eu/university/iscte-university-institute-of-lisbon/master-art-markets
University of Zurich,Art Market Studies,Master,,,N/A,"Zurich, Switzerland",https://www.study.eu/university/university-of-zurich/art-market-studies
University of the Arts London,Art: Moving Image,MSc,,2,N/A,"London, United Kingdom",https://www.study.eu/university/university-of-the-arts-london/art-moving-image
Newcastle University,Art Museum and Gallery Practice,Master,,2,N/A,"Newcastle upon Tyne, United Kingdom",https://www.study.eu/university/newcastle-university/art-museum-and-gallery-practice
Newcastle University,Art Museum and Gallery Studies,MA,,1,N/A,"Newcastle upon Tyne, United Kingdom",https://www.study.eu/university/newcastle-university/art-museum-and-gallery-studies
University of Dundee,Art & Philosophy,BA (Hons),73262,3,N/A,"Dundee, United Kingdom",https://www.study.eu/university/university-of-dundee/art-philosophy
"Goldsmiths, University of London",Art Practice and Learning,MPhil,52878,3,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/art-practice-and-learning
TU Shannon,Art Psyche and the Creative Imagination,MA,,3,N/A,"Limerick, Ireland",https://www.study.eu/university/tu-shannon/ma-art-psyche-and-the-creative-imagination
"Goldsmiths, University of London",Art Psychotherapy,MPhil,45128,2,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/art-psychotherapy
"Goldsmiths, University of London",Art Psychotherapy,MA,44858,2,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/art-psychotherapy-5472
